11 月 9 日美股 专家 坐堂 实录 
 　 11 月 9 日 ， 美股 专家 曾文俊 做客 新浪 财经 ， 回答 新浪 网友 提出 的 股市 方面 的 问题 ， 以下 是 问答 实录 ： 
 　 　 匿名 问 ： 	 小 曾 老师 ： 第一个 请教 ： 黄金 股 今后 策略 ( 今天 我出 了 五分之二 的 仓位 ， 有些 后悔 。 只留 了 3000 股中金 黄金 ， 1000 股 山东 黄金 ) 。 这 也 是 大家 的 问题 。 谢谢 ！ ( 2009 - 11 - 0917 : 56 : 54 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 自从 9 月底 开始 ， 我们 看好 黄金 ， 黄金 也 确实 走出 了 1 年 多 以来 没有 的 持续 上涨 。 黄金 股 的 走势 同时 受 股指 和 金价 的 影响 ， 因此 更加 复杂 ， 在 这个 点位 做 了 些 减持 也 不 为 错 。 其他 的 可以 先 继续 持有 。 黄金 的 上涨 仍然 保持 强劲 。 ( 2009 - 11 - 0921 : 24 : 13 ) 
 　 　 匿名 问 ： 	 曾帅 ： 好久不见 ！ 虽然 每天 拜读 您 的 文章 ， 但 在 这里 还是 想 直接 请教 几个 问题 ： 1 、 中信证券 的 短期 走势 如何 ？ 2 、 方大 碳素 、 方大 A 、 川 投 能源 都 属于 新能源 概念 吗 ？ 它们 短期 的 走势 如何 ？ ？ ？ 或 冲高 回落 ？ 还是 坚定 持有 ？ ？ ？ ？ ？ ( 2009 - 11 - 0920 : 35 : 37 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 1 . 最近 证券 股 的 走势 只能 说 是 与 大盘 持平 ， 中信 也 是 一样 ， 所以 短期 走势 可 参见 我 博客 对 大盘 的 分析 。 2 . 两个 方大 不知 市场 是否 归属 他们 做 新能源 ， 川 投是 的 。 新能源 的 龙头 是 天威 还有 风帆 。 新能源 目前 还 没有 体现 出 强劲 上涨 的 动力 ， 主要 还 看 原油 能否 持续 走 牛 。 根据 今年以来 的 规律 ， 凡是 我们 国家 涨 油价 ， 国际 油价 就 跌 。 不 知道 这次 灵验 否 。 ( 2009 - 11 - 0921 : 32 : 40 ) 
 　 　 匿名 问 ： 	 老师 分析 下 AIG 今晚 走势 如何 ？ 谢谢 ( 2009 - 11 - 0920 : 36 : 21 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 某天 的 走势 没法 分析 的 ， 抱歉 了 。 ( 2009 - 11 - 0921 : 39 : 14 ) 
 　 　 匿名 问 ： 	 NTES 上周 反弹 的 不错 ， 能 继续 吗 ？ 阻力 在 哪里 ？ ( 2009 - 11 - 0921 : 07 : 45 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 现价 就是 阻力 区域 了 。 股市 的 走势 仍然 是 震荡 格局 ， 并 不强 ， 所以 该 区域 还是 要 提高警惕 的 。 ( 2009 - 11 - 0921 : 42 : 04 ) 
 　 　 匿名 问 ： 	 请问 老师 ， etf 是否 有 退市 的 风险 ， UNG 这类 ETF 是否 永远 也 不会 退市 。 谢谢 。 ( 2009 - 11 - 0921 : 15 : 17 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 ETF 也 是 公司 发行 的 ， 如果 份额 太低 ， 或者 公司 关闭 ， 那 也 可能 会 有 清盘 结算 风险 。 ( 2009 - 11 - 0921 : 43 : 26 ) 
 　 　 手机用户 问 ： 	 曾 老师 ！ 您 可来 了 ， 天天 看 您 的 博文 盼望 指点 600522 走高 的 机会 大 吗 ？ 000925 成本 22.41 追高 买进 的 ， 还 能 持有 吗 ？ 谢谢 ！ ( 2009 - 11 - 0921 : 16 : 56 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 600522 保持 了 45 度角 向上 的 走势 ， 这种 态势 只能 说 是 完美 的 上升 通道 。 但是 太 完美 了 总 让 人 心虚 ， 因为 完美 多半 是 人为 的 ， 不 知道 什么 时候 会碎 。 000925 这类 明显 资金 操纵 的 个股 我 一般 不 碰 ， 因为 我 无法 把握 它 ， 所以 没法 给 你好 的 建议 了 。 ( 2009 - 11 - 0921 : 55 : 17 ) 
 　 　 匿名 问 ： 	 fuqi 今天 报表 很强 啊 ， 是否 还 可以 介入 ？ ( 2009 - 11 - 0921 : 20 : 19 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 FUQI 报表 好 是 可以 预期 的 ， 周五 的 涨幅 也 不小 。 25 是 该 股较 强 的 压力 。 如果 介入 的话 注意 下 。 ( 2009 - 11 - 0921 : 48 : 47 ) 
 　 　 匿名 问 ： 	 曾 老师 好 ！ 您 坐堂 ， 人 特别 多 ， 希望 能排 上 号 。 600536 短期 的 支撑 和 压力 位是 多少 ？ 万分感激 ！ ( 2009 - 11 - 0921 : 23 : 26 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 该股 现价 就是 前期 的 长期 平台 。 软件 股 曾经 狂 炒 过 ， 介入 的 资金 也 不 可能 顺利 出局 ， 应该 会 借机 表现 。 支撑 在 24 ， 压力 28 － 30 左右 。 ( 2009 - 11 - 0921 : 57 : 19 ) 
 　 　 匿名 问 ： 	 请问 文俊 ， 01919 中国 远洋 现在 10 元 左右 的 价格 是否 反映 了 它 现在 的 基本面 ， 航运 股 现在 普遍 还 低迷 ， 不 知道 明年 会 不会 好转 ( 2009 - 11 - 0921 : 27 : 08 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 我 认为 中国 远洋 的 股价 是 没有 充分体现 航运业 的 现状 和 未来 。 远洋 在 BDI 上 的 浮亏 非常 难看 ， 不过 现在 BDI 走势 强劲 ， 浮亏会 变成 赢利 。 ( 2009 - 11 - 0922 : 02 : 24 ) 
 　 　 匿名 问 ： 	 请问 xing 可转债 消息 是 负面 的 吗 ？ ( 2009 - 11 - 0921 : 27 : 09 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 你 是 说 2006 年 的 那个 定向 增发 在 最近 完成 的 消息 么 。 应该 早已 被 市场 消化 ， 谈不上 正面 负面 。 ( 2009 - 11 - 0922 : 09 : 55 ) 
 　 　 匿名 问 ： 	 曾帅 ： 您 对 油价 的 说法 太 灵验 了 ！ ！ ！ ！ 我 感觉 这次 依然 会 验证 您 的 真理 ！ ！ 麻烦 看看 600016 民生银行 短期 会 大幅 上涨 吗 ？ H股 发行 是不是 重大 利好 啊 ？ ？ ？ ( 2009 - 11 - 0921 : 40 : 33 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 油价 在 今年 是 体现 了 这个 规律 ， 个 中 原因 我们 也 就 无从 知晓 了 。 什么 时候 会 改变 也 难说 ， 不可 称之为 真理 啊 。 民生银行 的 H股 发行 对 公司 当然 是 利好 ， 而且 对 A股 也 不会 造成 扩容 压力 。 不过 因为 这 ， 短期 大幅 上涨 我 认为 不会 。 另外 民生银行 在 银行 股里 还是 股价 表现 较 优秀 的 。 ( 2009 - 11 - 0922 : 16 : 31 ) 
