12 月 2 日美股 专家 坐堂 实录 
 　 　 12 月 2 日 ， 美股 专家 曾文俊 做客 新浪 财经 ， 回答 新浪 网友 提出 的 股市 方面 的 问题 ， 以下 是 问答 实录 ： 
 　 　 匿名 问 ： 	 帮忙 看看 CAAS 吧 ， 近 月 涨 了 好多 啊 还 能 介入 吗 ？ ( 2009 - 12 - 0222 : 51 : 12 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 中国 的 汽车部件 公司 都 涨 的 很多 ， 这 和 国内 连续 的 汽车销量 大增 相关 。 不过 现在 国内 机构 已经 开始 控制 汽车 类 的 配置 ， 所以 CAAS 恐怕 也 将 进入 尾声 阶段 。 ( 2009 - 12 - 0222 : 58 : 11 ) 
 　 　 wangxinfra 问 ： 	 请问 您 怎么 看 STP 未来 走势 ， 与其 相比 CSIQ 近期 飙升 ， 太阳能 的 几只 股票 是否 就 这 2 只 最 有 价值 ？ ( 2009 - 12 - 0222 : 50 : 51 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 太阳能 公司 很多 ， 主要 还是 要 看 油价 ， 这 关系 其 产品 的 销售 。 ( 2009 - 12 - 0222 : 56 : 02 ) 
 　 　 匿名 问 ： 	 曾 先生 ， ung 已经 跌倒 9 块 以下 了 ， 要 买 吗 ？ 谢谢 ！ ( 2009 - 12 - 0222 : 50 : 35 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 前面 有 分析 ， 参考 ( 2009 - 12 - 0222 : 53 : 44 ) 
 　 　 匿名 问 ： 	 曾 老师 ： 你好 ， 帮忙 分析 一下 DEPO 这 只 股 怎么样 ， 我 是 3.90 进 的 。 ( 2009 - 12 - 0222 : 44 : 17 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 因为 被套 了 ， 这 两天 走势 还 不错 ， 还是 先 等 吧 。 不是 很 建议 参于 这类 波动 大 ， 过于 独立 的 股票 。 ( 2009 - 12 - 0222 : 50 : 07 ) 
 　 　 匿名 问 ： 	 曾 老大 非常 感谢您 上次 对 东方 金钰 的 指点 ， 使 我 减轻 了 很多 的 损失 ， 现在 我 满仓 000752 西藏 发展 ， 烦 您 指点 压力 位 ， 还有 上扬 的 希望 否 ？ 万分 感谢 ！ ( 2009 - 12 - 0222 : 41 : 20 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 压力 在 10 块 ， 不过 如果 大盘 良好 的话 ， 应该 能 突破 。 ( 2009 - 12 - 0222 : 47 : 21 ) 
 　 　 匿名 问 ： 	 曾 老师 ， 我 的 ahr 今天 除牌 了 ， 变成 了 otc ， 是不是 说 ， 我 的 一点 也 拿 不 回 了 ， 急呀 ， 望 回答 ， 万分 感谢 ！ ( 2009 - 12 - 0222 : 33 : 52 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 不是 阿 ， OTC 也 有 价格 的 阿 ， 运气 好 回来 也 可能 的 。 ( 2009 - 12 - 0222 : 44 : 34 ) 
 　 　 匿名 问 ： 	 曾 老师 ， 您 觉得 明年 航运 股 的 业绩 会 不会 扭亏为盈 啊 ？ 像 中国 远洋 ， 要是 明年 业绩 是 赚 的话 ， 那 应该 会长 得 不错 。 您 觉得 什么 板块 的 业绩 最有 可能 在 明年 更上一层楼 啊 ？ ( 2009 - 12 - 0222 : 33 : 34 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 是 的 ， 扭亏 是 正常 的 ， 就是 可能 要 在 年 中能 体现 出来 。 钢铁 也 会 扭亏 ， 还会 稍早 一些 体现 。 ( 2009 - 12 - 0222 : 43 : 00 ) 
 　 　 匿名 问 ： 	 敬业 的 文俊 老师 啊 ！ 看 您 解盘 真是 受益 又 过瘾 ！ 6000199 元 以上 压力 不小 吧 ？ ！ ( 2009 - 12 - 0222 : 32 : 21 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 已经 是 新高 了 ， 没有 什么 特别 的 压力 。 持有 即可 ， 等待 自己 走弱 考虑 换仓 。 ( 2009 - 12 - 0222 : 44 : 10 ) 
 　 　 匿名 问 ： 	 你好 ！ 600485 中创 信测 又 到 上周 高点 附近 。 今天 上影线 很长 您 如何 评价 ？ 谢谢 ( 2009 - 12 - 0222 : 31 : 55 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 是 的 ， 无论是 个股 还是 大盘 都 是 一个 压力 区域 ， 不过 国际 市场 资源 再创新高 ， 对 股市 应该 有 不错 的 提振 ， 希望 能 共同 突破 吧 。 ( 2009 - 12 - 0222 : 41 : 58 ) 
 　 　 匿名 问 ： 	 sirhowaboutthebxthanks ( 2009 - 12 - 0222 : 29 : 42 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 BX 就是 中投 参与 的 黑石 ， 走势 也 就 类似 于 一般 的 金融股 了 。 没有 什么 太 特别 的 ， 最近 走势 都 是 偏弱 的 。 ( 2009 - 12 - 0222 : 40 : 24 ) 
 　 　 匿名 问 ： 	 曾 老师 你好 麻烦 分析 一下 RF 和 KEY 近期走势 ( 2009 - 12 - 0222 : 25 : 37 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 走势 方面 都 弱 于 大盘 ， 特别 是 KEY 非常 疲弱 ， 今年 的 高点 竟然 在 上半年 。 ( 2009 - 12 - 0222 : 37 : 08 ) 
