12 月 9 日美股 专家 坐堂 实录 
 　 　 12 月 9 日 ， 美股 专家 warren 王 做客 新浪 财经 ， 回答 新浪 网友 提出 的 股市 方面 的 问题 ， 以下 是 问答 实录 ： 
 　 　 匿名 问 ： 	 kimihowabouttheungthanks ( 2009 - 12 - 0922 : 35 : 26 ) 　 　 专家 [ warren 王 ] 答 ： 	 Trickyone ! 长期 熊市 品种 ， 不过 本周 跳空 回到 熊市 陷阱 上方 ， 建议 关注 9.8 附近 高点 是否 能够 突破 。 支撑 初步 是 跳空 缺口 ， 年内 低点 跌破 的话 ， 空头 目标 7 / 6.99 元 ( 2009 - 12 - 0922 : 40 : 45 ) 
 　 　 匿名 问 ： 	 王老师 问 你 两天 了 ， 给 个 机会 吧 ， 000419 是否 继续 持有 ？ 压力 位 和 支撑位 是 多少 ？ 不胜感激 ！ ( 2009 - 12 - 0922 : 34 : 15 ) 　 　 专家 [ warren 王 ] 答 ： 	 不太 理想 的 周 线图 。 反转 周 K 线 出现 后 连续 的 内侧 日 形态 。 上周 周线 低点 跌破 或 将 出现 比较 规模 的 下跌 。 8.35 为 阻力 位置 。 今天 就 到 这里 了 ， 祝 大家 投资 愉快 。 ( 2009 - 12 - 0922 : 36 : 19 ) 
 　 　 匿名 问 ： 	 kimi 你 欣赏 那些 投资 大师 ？ 介绍 下 ， 我 也 想 看看 ( 2009 - 12 - 0922 : 30 : 59 ) 　 　 专家 [ warren 王 ] 答 ： 	 说道 欣赏 肯定 是 彼得 林奇 ， 巴菲特 这条 的 投资 大师 。 不过 我 更 多 的 还是 图形 学派 ， 因此 说 不好 听 就是 投机者 ， 我 主要 以周 线图 作为 交易 参考 。 ( 2009 - 12 - 0922 : 34 : 26 ) 
 　 　 匿名 问 ： 	 KIMI 老师 ， 如何 看 AIG ? ( 2009 - 12 - 0922 : 28 : 41 ) 　 　 专家 [ warren 王 ] 答 ： 	 看跌 ， 前期 整理 平台 33 附近 应该 是 卖盘 密布 了 。 ( 2009 - 12 - 0922 : 31 : 46 ) 
 　 　 匿名 问 ： 	 老师 您好 ！ 请问 YGE 的 支持 位 和 阻力 为 ？ ( ( 2009 - 12 - 0922 : 25 : 14 ) 　 　 专家 [ warren 王 ] 答 ： 	 昨日 低点 跌破 我 将 视为 假 突破 ， 隔夜 高点 突破 则 看 多 。 ( 2009 - 12 - 0922 : 28 : 11 ) 
 　 　 fieldtyty 问 ： 	 KIMI 老师 ， 这 段时间 A股 短线 越来越 不好 操作 了 ， 凭 我 的 感觉 A股 将 进 一个 较 漫长 的 调整期 ， 这 段时间 是不是 该 休息 ？ ( 2009 - 12 - 0922 : 24 : 16 ) 　 　 专家 [ warren 王 ] 答 ： 	 这 段时间 很 考验 个股 选择 了 ， 大盘 不是 理想 的 牛市 状态 ， 休息 是 不错 的 选择 ( 2009 - 12 - 0922 : 27 : 01 ) 
 　 　 匿名 问 ： 	 KIMI 老师 ， 如何 看 FUQI ， 20.5 成本 ( 2009 - 12 - 0922 : 23 : 59 ) 　 　 专家 [ warren 王 ] 答 ： 	 看起来 守住 近期 低点 的话 将 出现 反弹 ， 22.5 初步 阻力 ， 25 看起来 难度 相当 大 。 ( 2009 - 12 - 0922 : 26 : 16 ) 
 　 　 匿名 问 ： 	 kimihowaboutthebxthanks ( 2009 - 12 - 0922 : 18 : 47 ) 　 　 专家 [ warren 王 ] 答 ： 	 看上去 是 一个 下降 趋势 ， 倾向 于 反弹 卖出 。 12.5 / 11.6 支撑 区域 将 影响 到 中线 更 多 趋势 ， 跌破 后 加强 空头 看法 。 ( 2009 - 12 - 0922 : 23 : 26 ) 
 　 　 匿名 问 ： 	 王老师 ， 您好 ！ IAG 高位 买进 。 可以 等待 长期 持有 解套 ， 或 斩仓 等 再 跌 再 买 。 我 明白 这是 个人 的 不同 投资 理念 ， 因为 是 新手 ， 所以 请 老师 指教 。 谢谢 ！ ( 2009 - 12 - 0922 : 18 : 47 ) 　 　 专家 [ warren 王 ] 答 ： 	 反转 周 K 线 ， 反弹 卖出 。 16 附近 支撑 或 提供 反弹 离场 机会 ( 2009 - 12 - 0922 : 24 : 29 ) 
 　 　 匿名 问 ： 	 KIMI 老师 ， 美元 升值 中国 美元 储备 价值 高 了 ， 难道 美国佬 会 让 中国 占便宜 ？ ？ ？ ( 2009 - 12 - 0922 : 17 : 02 ) 　 　 专家 [ warren 王 ] 答 ： 	 美元 升值 的 影响力 不仅仅 是 储备 ， 储备 说到底 只是 看上去 很 美 而已 。 很多 其他 的 影响力 会 让 中国 很 受伤 的 。 ( 2009 - 12 - 0922 : 21 : 46 ) 
 　 　 匿名 问 ： 	 KIMI 老师 您好 ！ 请问 DHI 的 支持 位 和 阻力 为 ？ ( 2009 - 12 - 0922 : 12 : 32 ) 　 　 专家 [ warren 王 ] 答 ： 	 看跌 走势 ， 跌破 口 10.5 阻力 很大 。 周线 级别 支撑 位于 8 元 ， 短线 如果 在 9.6 / 9.7 弱 支撑 区域 企稳 并 向 10.5 反弹 的话 建议 逢高卖出 ( 2009 - 12 - 0922 : 15 : 05 ) 
