12 月 10 日美股 专家 坐堂 实录 
 　 　 12 月 10 日 ， 美股 专家 warren 王 做客 新浪 财经 ， 回答 新浪 网友 提出 的 股市 方面 的 问题 ， 以下 是 问答 实录 ： 
 　 　 匿名 问 ： 	 warrehowaboutthendaqthanks ( 2009 - 12 - 1022 : 27 : 49 ) 　 　 专家 [ warren 王 ] 答 ： 	 NDAQ 还是 低位 整理 的 态势 ， 观望 为 好 。 大家 晚安 ！ 我们 明天 见 。 盘中 即时 分析 ， 可 关注 我 的 微博 。 http : / / t . sina . com . cn / warrenwang2008 ( 2009 - 12 - 1022 : 32 : 15 ) 
 　 　 匿名 问 ： 	 王老师 ， “ 美 上周 初次 申请 失业 救济金 人数 升至 47.4 万 ” 这个 会 使 每股 跌 ， 美元 跌 ， 黄金 涨 吗 ？ ( 2009 - 12 - 1022 : 20 : 03 ) 　 　 专家 [ warren 王 ] 答 ： 	 失业 金 人数 申请 数据 每周 都 公布 ， 本周 出现 上升 ， 但是 这个 数据 不是 很 重要 ， 所以 对 大盘 和 黄金 的 波动 影响 不 大 。 ( 2009 - 12 - 1022 : 23 : 09 ) 
 　 　 ysc830 问 ： 	 老大 ， 600655.21 的 支撑 ？ 那 就是 现价 卖 了 ？ ( 2009 - 12 - 1022 : 19 : 45 ) 　 　 专家 [ warren 王 ] 答 ： 	 这 股 走势 很强 ， 跌到 21 , 将 可能 出现 反弹 。 ( 2009 - 12 - 1022 : 23 : 55 ) 
 　 　 [ 手机用户 ] 问 ： 	 王老师 ， 600418 什么 价位 会 反弹 上涨 呀 ( 2009 - 12 - 1022 : 16 : 58 ) 　 　 专家 [ warren 王 ] 答 ： 	 支撑 在 11.54 ( 2009 - 12 - 1022 : 22 : 01 ) 
 　 　 匿名 问 ： 	 老师 世茂 股份 你 怎么 看 啊 ？ ( 2009 - 12 - 1022 : 16 : 44 ) 　 　 专家 [ warren 王 ] 答 ： 	 压力 在 19.27 。 ( 2009 - 12 - 1022 : 24 : 38 ) 
 　 　 ysc830 问 ： 	 老大 ， 第一次 提问 ， 希望 得到 你 的 回答 。 你 的 微博 。 我 天天 关注 。 希望 得到 你 的 帮助 。 600655 是否 可以 继续 持有 ？ ( 2009 - 12 - 1022 : 14 : 49 ) 　 　 专家 [ warren 王 ] 答 ： 	 这是 黄金 消费 股 ， 可 关注 21 的 支撑点 。 ( 2009 - 12 - 1022 : 16 : 53 ) 
 　 　 匿名 问 ： 	 王老师 ， 您好 ！ 我 知道 您 不 看好 600536 ， 可 我 28 的 成本 被套 ， 又 特别 相信 您 说 的 短期 支撑 和 压力 位 。 所以 还是 请 您 百忙中 指点 一下 吧 。 万分感激 ！ ( 2009 - 12 - 1022 : 09 : 39 ) 　 　 专家 [ warren 王 ] 答 ： 	 27.46 是 压力 ， 接近 这个 位置 应该 考虑 暂时 出场 。 ( 2009 - 12 - 1022 : 12 : 55 ) 
 　 　 匿名 问 ： 	 王老师 ， 如何 看 BDX ， 上涨 了 这么久 了 ， 是否 后续 压力 较大 ？ ( 2009 - 12 - 1022 : 08 : 58 ) 　 　 专家 [ warren 王 ] 答 ： 	 短期 这 股 正好 接近 十分 重要 的 周线 压力 @ 78.13 , 暂时 不要 追高 ， 等待 观望 下 吧 。 ( 2009 - 12 - 1022 : 14 : 21 ) 
 　 　 chad369 问 ： 	 王老师 ， 你好 ， 昨天 黄金 期货 开始 之跌 回升 ， Au 是否 可以 进场 ， 他 的 执掌 点 是 多少 ？ 谢谢 。 ( 2009 - 12 - 1022 : 04 : 20 ) 　 　 专家 [ warren 王 ] 答 ： 	 AU 还是 在 一 整理 区间 ， 37.91 是 支撑点 。 ( 2009 - 12 - 1022 : 11 : 47 ) 
 　 　 匿名 问 ： 	 王老师 问 你 两天 了 ， 给 个 机会 吧 ， 000419 是否 继续 持有 ？ 压力 位 和 支撑位 是 多少 ？ 不胜感激 ！ ( 2009 - 12 - 1022 : 03 : 09 ) 　 　 专家 [ warren 王 ] 答 ： 	 这 股 阻力 在 8.12 ( 2009 - 12 - 1022 : 18 : 15 ) 
 　 　 匿名 问 ： 	 王 哥哥 ， 小妹 ， 今天 买入 600432 ( 吉恩 镍业 ) ， 镍 您 怎么 看 的 啊 ？ 谢谢 了 ( 2009 - 12 - 1022 : 01 : 14 ) 　 　 专家 [ warren 王 ] 答 ： 	 有色金属 类 板块 还是 在 整理 之中 ， 600432 也 不 例外 ， 暂时 观望 为主 ， 等待 趋势 行情 的 出现 。 ( 2009 - 12 - 1022 : 08 : 22 ) 
